我的收藏,#genre#
央视频道,#genre#
中央1台,http://111.20.106.13:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央1台,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8?$全网超清1080P
中央1台,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226834/48356507.smil?$移动超清1080P
中央1台,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8?$移动超清1080P
中央1台,http://39.134.18.82:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?$移动超清1080P
中央1台,http://117.148.179.155:80/PLTV/88888888/224/3221231468/1.m3u8?$咪咕移动1080P
中央2台,http://111.20.106.13:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央2台,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8?$全网超清1080P
中央2台,http://111.20.41.249:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8?$移动超清1080P
中央2台,http://117.148.179.147:80/PLTV/88888888/224/3221231678/1.m3u8?$咪咕移动1080P
中央2台,http://39.135.138.58:18890/PLTV/88888888/224/3221225643/index.m3u8?$移动蓝光1080P
中央3台,http://111.20.41.249:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8?$移动超清1080P
中央3台,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8?$全网超清1080P
中央3台,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8?$移动蓝光1080P
中央3台,http://111.20.106.13:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央3台,http://117.148.179.183:80/PLTV/88888888/224/3221231682/index.m3u8?$咪咕移动1080P
中央4台,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
中央4台,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8?$移动超清1080P
中央4台,http://111.20.106.13:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央4台,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226633/40417241.smil?$移动超清1080P
中央4台,http://111.20.41.248:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8?$移动超清1080P
中央4台,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8?$全网超清1080P
中央4台,http://117.148.179.183/PLTV/88888888/224/3221231726/index.m3u8?$咪咕移动1080P
中央5台,http://117.148.179.162/PLTV/88888888/224/3221233115/index.m3u8?$咪咕移动1080P
中央5台,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000205103.m3u8?$全网超清1080P
中央5台,http://111.20.41.242:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8?$移动超清1080P
中央5台,http://39.135.55.7:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1?$移动超清1080P
中央5台,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8?$移动超清1080P
中央6台,http://111.20.106.13:6610/yinhe/2/ch00000090990000001275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央6台,http://111.20.41.252:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8?$移动超清1080P
中央6台,http://111.20.33.93:80/PLTV/88888893/224/3221226011/index.m3u8?$移动高清1080P
中央6台,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8?$移动蓝光1080P
中央6台,http://117.148.179.153:80/PLTV/88888888/224/3221231724/index.m3u8?$咪咕移动1080P
中央7台,http://111.20.41.242:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8?$移动超清1080P
中央7台,http://111.20.106.13:6610/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央7台,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8?$全网超清1080P
中央8台,http://39.135.55.7:6610/PLTV/88888888/224/3221227174/index.m3u8?servicetype=1?$移动超清1080P
中央8台,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000203903.m3u8?$全网超清1080P
中央8台,http://117.148.179.160:80/PLTV/88888888/224/3221231694/index.m3u8?$咪咕移动1080P
中央9台,http://111.20.106.13:6610/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央9台,http://111.20.41.250:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8?$移动超清1080P
中央9台,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226637/40417257.smil?$移动超清1080P
中央9台,http://117.148.179.163/PLTV/88888888/224/3221231697/index.m3u8?$咪咕移动1080P
